,Year,NOC,MaleMC,Male%MBE,FemaleMC,Female%MBE,W%Male,W%Female
1009,2008,EGY,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1010,2008,ESP,57.0,54.3584720862,14.0,45.6415279138,0.773680531283,0.226319468717
1011,2008,EST,3.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1012,2008,ETH,4.0,54.3584720862,3.0,45.6415279138,0.528194956078,0.471805043922
1013,2008,FIN,2.0,54.3584720862,3.0,45.6415279138,0.358875625722,0.641124374278
1014,2008,FRA,66.0,54.3584720862,10.0,45.6415279138,0.847132705338,0.152867294662
1015,2008,GBR,48.0,54.3584720862,29.0,45.6415279138,0.581545901256,0.418454098744
1016,2008,GEO,5.0,54.3584720862,1.0,45.6415279138,0.807625649913,0.192374350087
1017,2008,GER,55.0,54.3584720862,46.0,45.6415279138,0.500977326036,0.499022673964
1018,2008,GRE,3.0,54.3584720862,4.0,45.6415279138,0.3864013267,0.6135986733
1019,2008,HUN,20.0,54.3584720862,7.0,45.6415279138,0.705793260129,0.294206739871
1020,2008,INA,5.0,54.3584720862,2.0,45.6415279138,0.677325581395,0.322674418605
1021,2008,IND,3.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1022,2008,IRI,2.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1023,2008,IRL,3.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1024,2008,ISL,14.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1025,2008,ISR,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1026,2008,ITA,28.0,54.3584720862,14.0,45.6415279138,0.62676529926,0.37323470074
1027,2008,JAM,6.0,54.3584720862,11.0,45.6415279138,0.314122008763,0.685877991237
1028,2008,JPN,24.0,54.3584720862,27.0,45.6415279138,0.427375902786,0.572624097214
1029,2008,KAZ,9.0,54.3584720862,4.0,45.6415279138,0.653882132834,0.346117867166
1030,2008,KEN,9.0,54.3584720862,5.0,45.6415279138,0.601808006888,0.398191993112
1031,2008,KGZ,2.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1032,2008,KOR,47.0,54.3584720862,31.0,45.6415279138,0.560053187409,0.439946812591
1033,2008,LAT,3.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1034,2008,LTU,4.0,54.3584720862,1.0,45.6415279138,0.770566349731,0.229433650269
1035,2008,MAR,1.0,54.3584720862,1.0,45.6415279138,0.456415279138,0.543584720862
1036,2008,MAS,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1037,2008,MDA,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1038,2008,MEX,1.0,54.3584720862,3.0,45.6415279138,0.218676677616,0.781323322384
1039,2008,MGL,3.0,54.3584720862,1.0,45.6415279138,0.715821812596,0.284178187404
1040,2008,MRI,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1041,2008,NED,4.0,54.3584720862,58.0,45.6415279138,0.05473659482,0.94526340518
1042,2008,NGR,19.0,54.3584720862,5.0,45.6415279138,0.761372430991,0.238627569009
1043,2008,NOR,5.0,54.3584720862,17.0,45.6415279138,0.198045048874,0.801954951126
1044,2008,NZL,11.0,54.3584720862,3.0,45.6415279138,0.75482255927,0.24517744073
1045,2008,PAN,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1046,2008,POL,16.0,54.3584720862,4.0,45.6415279138,0.770566349731,0.229433650269
1047,2008,POR,1.0,54.3584720862,1.0,45.6415279138,0.456415279138,0.543584720862
1048,2008,PRK,1.0,54.3584720862,5.0,45.6415279138,0.143782783092,0.856217216908
1049,2008,ROU,1.0,54.3584720862,21.0,45.6415279138,0.0384456727993,0.961554327201
1050,2008,RSA,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1051,2008,RUS,63.0,54.3584720862,80.0,45.6415279138,0.398031399984,0.601968600016
1052,2008,SIN,0.0,54.3584720862,3.0,45.6415279138,0.0,1.0
1053,2008,SLO,3.0,54.3584720862,2.0,45.6415279138,0.557416267943,0.442583732057
1054,2008,SRB,15.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1055,2008,SUD,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1056,2008,SUI,9.0,54.3584720862,2.0,45.6415279138,0.7907239819,0.2092760181
1057,2008,SVK,8.0,54.3584720862,2.0,45.6415279138,0.770566349731,0.229433650269
1058,2008,SWE,6.0,54.3584720862,1.0,45.6415279138,0.834377797672,0.165622202328
1059,2008,THA,2.0,54.3584720862,2.0,45.6415279138,0.456415279138,0.543584720862
1060,2008,TJK,2.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1061,2008,TOG,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1062,2008,TPE,2.0,54.3584720862,2.0,45.6415279138,0.456415279138,0.543584720862
1063,2008,TRI,5.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1064,2008,TUN,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1065,2008,TUR,4.0,54.3584720862,4.0,45.6415279138,0.456415279138,0.543584720862
1066,2008,UKR,16.0,54.3584720862,15.0,45.6415279138,0.472466890565,0.527533109435
1067,2008,USA,153.0,54.3584720862,162.0,45.6415279138,0.442273336311,0.557726663689
1068,2008,UZB,5.0,54.3584720862,1.0,45.6415279138,0.807625649913,0.192374350087
1069,2008,VEN,0.0,54.3584720862,1.0,45.6415279138,0.0,1.0
1070,2008,VIE,1.0,54.3584720862,0.0,45.6415279138,1.0,0.0
1071,2008,ZIM,0.0,54.3584720862,4.0,45.6415279138,0.0,1.0
